name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Improved Bull Rush,Combat,You are skilled at pushing your foes around.,"Str 13, Power Attack, base attack bonus +1.",Power Attack,"You do not provoke an attack of opportunity when performing a bull rush combat maneuver. In addition, you receive a +2 bonus on checks made to bull rush a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to bull rush you.",You provoke an attack of opportunity when performing a bull rush combat maneuver.,,PFRPG Core
Improved Channel,General,Your channeled energy is harder to resist.,Channel energy class feature.,,Add 2 to the DC of saving throws made to resist the effects of your channel energy ability.,,,PFRPG Core
Improved Counterspell,General,You are skilled at countering the spells of others using similar spells.,,,"When counterspelling, you may use a spell of the same school that is one or more spell levels higher than the target spell.","Without this feat, you may counter a spell only with the same spell or with a spell specifically designated as countering the target spell.",,PFRPG Core
Improved Critical,Combat,Attacks made with your chosen weapon are quite deadly.,"Proficient with weapon, base attack bonus +8.",,"When using the weapon you selected, your threat range is doubled.",,"You can gain Improved Critical multiple times. The effects do not stack. Each time you take the feat, it applies to a new type of weapon. This effect doesn't stack with any other effect that expands the threat range of a weapon.",PFRPG Core
Improved Disarm,Combat,You are skilled at knocking weapons from a foe's grasp.,"Int 13, Combat Expertise.",Combat Expertise,"You do not provoke an attack of opportunity when performing a disarm combat maneuver. In addition, you receive a +2 bonus on checks made to disarm a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to disarm you.",You provoke an attack of opportunity when performing a disarm combat maneuver.,,PFRPG Core
Improved Familiar,General,"This feat allows you to acquire a powerful familiar, but only when you could normally acquire a new familiar.","Ability to acquire a new familiar, compatible alignment, sufficiently high level (see below).",,"When choosing a familiar, the creatures listed below are also available to you (see the Pathfinder RPG Bestiary for statistics on these creatures). You may choose a familiar with an alignment up to one step away on each alignment axis (lawful through chaotic, good through evil). Arcane Spellcaster Familiar Alignment Level Celestial hawk1 Neutral good 3rd Dire rat Neutral 3rd Fiendish viper2 Neutral evil 3rd Elemental, Small (any type) Neutral 5th Stirge Neutral 5th Homunculus3 Any 7th Imp Lawful evil 7th Mephit (any type) Neutral 7th Pseudodragon Neutral good 7th Quasit Chaotic evil 7th 1 Or other celestial animal from the standard familiar list. 2 Or other fiendish animal from the standard familiar list. 3 The master must first create the homunculus. Improved familiars otherwise use the rules for regular familiars, with two exceptions: if the creature's type is something other than animal, its type does not change; and improved familiars do not gain the ability to speak with other creatures of their kind (although many of them already have the ability to communicate).",,,PFRPG Core
Improved Feint,Combat,You are skilled at fooling your opponents in combat.,"Int 13, Combat Expertise.",Combat Expertise,You can make a Bluff check to feint in combat as a move action.,Feinting in combat is a standard action.,,PFRPG Core
Improved Grapple,Combat,You are skilled at grappling opponents.,"Dex 13, Improved Unarmed Strike.",Improved Unarmed Strike,"You do not provoke an attack of opportunity when performing a grapple combat maneuver. In addition, you receive a +2 bonus on checks made to grapple a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to grapple you.",You provoke an attack of opportunity when performing a grapple combat maneuver.,,PFRPG Core
Improved Great Fortitude,General,"You can draw upon an inner reserve to resist diseases, poisons, and other grievous harm.",Great Fortitude.,Great Fortitude,"Once per day, you may reroll a Fortitude save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,PFRPG Core
Improved Initiative,Combat,Your quick ref lexes allow you to react rapidly to danger.,,,You get a +4 bonus on initiative checks.,,,PFRPG Core
Improved Iron Will,General,Your clarity of thought allows you to resist mental attacks.,Iron Will.,Iron Will,"Once per day, you may reroll a Will save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,PFRPG Core
Improved Lightning Reflexes,General,You have a knack for avoiding danger all around you.,Lightning Reflexes.,Lightning Reflexes,"Once per day, you may reroll a Ref lex save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,PFRPG Core
Improved Overrun,Combat,You are skilled at running down your foes.,"Str 13, Power Attack, base attack bonus +1.",Power Attack,"You do not provoke an attack of opportunity when performing an overrun combat maneuver. In addition, you receive a +2 bonus on checks made to overrrun a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to overrun you. Targets of your overrun attempt may not choose to avoid you.",You provoke an attack of opportunity when performing an overrun combat maneuver.,,PFRPG Core
Improved Precise Shot,Combat,Your ranged attacks ignore anything but total concealment and cover.,"Dex 19, Point-Blank Shot, Precise Shot, base attack bonus +11.","Point-Blank Shot, Precise Shot","Your ranged attacks ignore the AC bonus granted to targets by anything less than total cover, and the miss chance granted to targets by anything less than total concealment. Total cover and total concealment provide their normal benefits against your ranged attacks.",See the normal rules on the effects of cover and concealment in Chapter 8.,,PFRPG Core
Improved Shield Bash,Combat,"You can protect yourself with your shield, even if you use it to attack.",Shield Proficiency.,Shield Proficiency,"When you perform a shield bash, you may still apply the shield's shield bonus to your AC.","Without this feat, a character that performs a shield bash loses the shield's shield bonus to AC until his next turn (see Chapter 6).",,PFRPG Core
Improved Sunder,Combat,You are skilled at damaging your foes' weapons and armor.,"Str 13, Power Attack, base attack bonus +1.",Power Attack,"You do not provoke an attack of opportunity when performing a sunder combat maneuver. In addition, you receive a +2 bonus on checks made to sunder an item. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to sunder your gear.",You provoke an attack of opportunity when performing a sunder combat maneuver.,,PFRPG Core
